Title,Year,Citation,Retraction,Retraction Time (days),Open Access,Number of Authors,Number of Retractions by Publishers,Number of Retractions by Journal,SJR,Journal Discontinue,Total Retractions by Authors
A Clinical Analysis and Literature Review of Six Cases with Primary Pulmonary Lymphoepithelioma-Like Carcinoma,2022,1,1,587,1,9,4115.0,448.0,0.0,1,15
A novel TUBG1 mutation with neurodevelopmental disorder caused by malformations of cortical development,2021,6,1,1014,1,5,4115.0,193.0,0.656,0,23
The Potential Function of Super Enhancers in Human Bone Marrow Mesenchymal Stem Cells during Osteogenic Differentiation,2021,5,1,1044,1,5,4115.0,193.0,0.656,0,38
A Systematic Review of Lymphangioleiomyomatosis on Diagnosis and Molecular Mechanism,2021,3,1,765,1,9,4115.0,193.0,0.656,0,12
"Cannabinoid WIN 55,212-2 Inhibits Human Glioma Cell Growth by Triggering ROS-Mediated Signal Pathways",2021,8,1,958,1,8,4115.0,193.0,0.656,0,62
Effect of Blood Homocysteine on the Outcome of Artificial Insemination in Women with Polycystic Ovary Syndrome,2022,1,1,473,1,2,4115.0,193.0,0.656,0,12
"Effects of Clopidogrel Rehabilitation on Cardiac Protein Kinase C, Cardiac Heat Shock Protein 70, and CI in MIRI Rat Model",2022,0,1,420,1,5,4115.0,193.0,0.656,0,13
HDAC3 Inhibition Alleviates High-Glucose-Induced Retinal Ganglion Cell Death through Inhibiting Inflammasome Activation,2022,1,1,473,1,6,4115.0,193.0,0.656,0,14
Knockdown of PVT1 Exerts Neuroprotective Effects against Ischemic Stroke Injury through Regulation of miR-214/Gpx1 Axis,2022,0,1,486,1,6,4115.0,193.0,0.656,0,20
Influence of P(VDF-TrFE) Membranes with Different Surface Potentials on the Activity and Angiogenic Function of Human Umbilical Vein Endothelial Cells,2022,0,1,268,1,6,4115.0,193.0,0.656,0,32
The Absorption and Distribution Characteristics of Willow Clones to Copper and Its Detoxification Mechanism,2022,0,1,298,1,1,4115.0,21.0,0.0,0,1
Quantitative Evaluation of Leaf Morphology with Different Rice Genotypes Based on Image Processing,2021,1,1,924,1,4,4115.0,184.0,0.367,0,4
Involvement of miR-4262 in paclitaxel resistance through the regulation of PTEN in non-small cell lung cancer,2019,33,1,1326,1,6,38.0,13.0,2.164,0,20
Systematic review and meta-analysis of the epidemiology of Vancomycin-resistance Staphylococcus aureus isolates,2021,48,1,619,1,6,451.0,1.0,0.0,0,7
Astragaloside IV inhibits plateletâderived growth factorâBBâstimulated proliferation and migration of vascular smooth muscle cells via the inhibition of p38 MAPK signaling,2014,36,1,3350,1,5,445.0,54.0,0.0,0,9
"LncRNA TCF7 promotes epithelial ovarian cancer viability, mobility and stemness via regulating ITGB8",2021,5,1,701,1,2,246.0,42.0,1.066,0,2
Exosomes from cancer-associated mesenchymal stem cells transmit TMBIM6 to promote the malignant behavior of hepatocellular carcinoma via activating PI3K/AKT pathway,2022,7,1,620,1,6,246.0,42.0,1.066,0,32
Oxidative Potential and Nanoantioxidant Activity of Flavonoids and Phenolic Acids in Sophora flavescens,2022,0,1,512,1,4,4115.0,2.0,0.314,0,5
"MicroRNAâ139â5p inhibits cell viability, migration and invasion and suppresses tumor growth by targeting HDGF in nonâsmall cell lung cancer",2020,15,1,1336,1,5,445.0,66.0,0.644,0,6
Numerical Simulation Method for Microbial Remediation Effect of Nano Heavy Metal Contaminated Soil,2022,0,1,306,1,1,4115.0,35.0,0.524,0,10
Analysis of the Correlation between the Distribution of MTHFR Gene and the Severity and Renal Function of Elderly Patients with H-Type Hypertension,2022,1,1,66,1,8,4115.0,426.0,0.509,0,73
SMARCB1 expression is a novel diagnostic and prognostic biomarker for osteosarcoma,2022,2,1,130,1,5,137.0,126.0,0.754,0,16
Risk Analysis of Positive PD-L1 Expression and Clinicopathological Features and Survival Prognosis in Patients with Colorectal Cancer: Systematic Review and Meta-Analysis,2022,3,1,96,1,4,4115.0,426.0,0.509,0,4
Meta-Analysis of Childrenâs Acute Psychological Stress and Action Stress on Immune Function under Microscope Images,2022,0,1,322,1,3,4115.0,426.0,0.509,0,8
Asiatic Acid from Potentilla chinensis Attenuate Ethanol-Induced Hepatic Injury via Suppression of Oxidative Stress and Kupffer Cell Activation,2013,36,1,3394,1,10,2.0,12.0,0.518,0,23
MiR-195-5p inhibits the cell migration and invasion of cervical carcinoma through suppressing ARL2,2019,24,1,1385,1,4,220.0,220.0,0.58,0,4
Identification of ZEB2 as an Immune-Associated Gene in Endometrial Carcinoma and Associated with Macrophage Infiltration by Bioinformatic Analysis,2021,4,1,414,1,4,4115.0,426.0,0.509,0,5
MiR-1270 Suppresses the Malignant Progression of Breast Cancer via Targeting MMD2,2022,5,1,326,1,5,4115.0,426.0,0.509,0,25
Prescription of Sageretia hamosa Brongn Relieved Goiter through Promoted Apoptosis of Thyroid Cells via miR-511-3p and PTEN/PI3K/Akt Pathway,2021,0,1,497,1,5,4115.0,426.0,0.509,0,44
Phenotypic Changes of LncRNA Hotair in Non-Small-Cell Lung Cancer and Its Clinical Application,2021,2,1,638,1,3,4115.0,426.0,0.509,0,30
Associations of Changes in Intestinal Flora and Inflammatory Factors with Prognosis of Patients with Esophageal Cancer,2022,3,1,318,1,4,4115.0,426.0,0.509,0,15
Long Non-Coding RNA HOXA-AS2 Regulates Malignant Glioma Behaviors and Vasculogenic Mimicry Formation via the MiR-373/EGFR Axis,2017,81,1,2136,1,11,106.0,115.0,0.733,0,77
The LINC00623/NAT10 signaling axis promotes pancreatic cancer progression by remodeling ac4C modification of mRNA,2022,30,1,147,1,13,451.0,7.0,0.0,0,46
"IFIT1 modulates the proliferation, migration and invasion of pancreatic cancer cells via Wnt/Î²-catenin signaling",2021,13,1,711,1,9,3505.0,4.0,0.0,0,11
miR-181a Ameliorates the Progression of Myasthenia Gravis by Regulating TRIM9,2021,2,1,647,1,6,4115.0,414.0,0.0,0,31
Single-wall carbon nanohorns inhibited activation of microglia induced by lipopolysaccharide through blocking of Sirt3,2013,11,1,3889,1,13,3505.0,19.0,0.0,0,121
The role of fibroblast activation protein in progression and development of osteosarcoma cells,2019,10,1,1428,1,14,3505.0,3.0,1.038,0,98
Transcription factor Liv4 is required for growth and pathogenesis of Cryptococcus neoformans,2020,1,1,1077,1,10,292.0,3.0,0.63,0,56
Let-7c-5p Inhibits Cell Proliferation and Migration and Promotes Apoptosis via the CTHRC1/AKT/ERK Pathway in Esophageal Squamous Cell Carcinoma,2020,8,1,1368,1,8,487.0,192.0,0.81,0,73
Glycyrrhizin protects mice against renal ischemiaâreperfusion injury through inhibition of apoptosis and inflammation by downregulating p38 mitogenâactivated protein kinase signaling,2014,29,1,3503,1,6,445.0,54.0,0.0,0,25
LINC01133 promotes the progression of cervical cancer via regulating miR-30a-5p/FOXD1,2020,16,1,1102,1,3,2080.0,1.0,0.531,0,14
Hepatic PLIN5 Deficiency Impairs Lipogenesis through Mitochondrial Dysfunction,2022,1,1,406,1,1,170.0,17.0,1.179,0,1
Up-regulation of microRNA-145 promotes differentiation by repressing OCT4 in human endometrial adenocarcinoma cells,2011,61,1,4681,1,7,2080.0,12.0,2.887,0,16
MicroRNA-188-5p Promotes Epithelial-Mesenchymal Transition by Targeting ID4 Through Wnt/Î²-Catenin Signaling in Retinoblastoma,2019,17,1,1423,1,3,487.0,192.0,0.81,0,60
Longitude variation of the microRNA-497/FGF-23 axis during treatment and its linkage with neoadjuvant/adjuvant trastuzumab-induced cardiotoxicity in HER2-positive breast cancer patients,2022,1,1,370,1,8,246.0,5.0,0.436,0,109
Kinesin family member 2A serves as a potential biomarker reflecting more frequent lymph node metastasis and tumor recurrence risk in basal-like breast cancer patients,2022,1,1,512,1,2,246.0,5.0,0.436,0,17
Application Value of Metagenomics Next-Generation Sequencing (mNGS) in Detection of Mucormycosis after Chemotherapy in Childhood Acute Leukemia,2022,0,1,173,1,5,4115.0,414.0,0.0,0,55
Identification of Diagnostic Biomarkers of Rape Pollen Allergy Based on MRNA Sequencing,2022,1,1,133,1,6,4115.0,414.0,0.0,0,49
Metformin Synergizes with PD-L1 Monoclonal Antibody Enhancing Tumor Immune Response in Treating Non-Small Cell Lung Cancer and Its Molecular Mechanism Investigation,2022,2,1,136,1,7,4115.0,414.0,0.0,0,75
Heparin-Binding Protein Aggravates Acute Lung Injury in Septic Rats by Promoting Macrophage M1 Polarization and NF-ÎºB Signaling Pathway Activation,2022,0,1,335,1,3,4115.0,414.0,0.0,0,61
Network Pharmacology and Molecular Docking Analysis on Molecular Targets and Mechanisms of âChuanxiong Rhizoma: Radix Salviae miltiorrhizaeâ Herb Couples in the Treatment of Preeclampsia,2022,0,1,214,1,3,4115.0,414.0,0.0,0,5
Identification of Differentially Expressed Long Noncoding RNAs as Functional Biomarkers and Construction of Function Enrichment Network in Oral Squamous Cell Carcinoma,2022,1,1,228,1,4,4115.0,414.0,0.0,0,21
Quercetin Inhibits KBM7R Cell Proliferation through Wnt/Î²-Catenin Signaling,2022,3,1,229,1,7,4115.0,414.0,0.0,0,123
Inhibition of DNAJC12 Inhibited Tumorigenesis of Rectal Cancer via Downregulating HSPA4 Expression,2022,0,1,140,1,3,4115.0,414.0,0.0,0,9
Role and Mechanism of Epithelial-Mesenchymal Transition Mediated by Inflammatory Stress-Induced TGF-Î²1 in Promoting Arteriovenous Fistula Stenosis,2022,0,1,407,1,13,4115.0,414.0,0.0,0,31
SPINK5 is a Tumor-Suppressor Gene Involved in the Progression of Nonsmall Cell Lung Carcinoma through Negatively Regulating PSIP1,2022,2,1,320,1,6,4115.0,426.0,0.509,0,97
Knockdown of lncRNA HOXD-AS2 Improves the Prognosis of Glioma Patients by Inhibiting the Proliferation and Migration of Glioma Cells,2022,0,1,311,1,5,4115.0,414.0,0.0,0,46
Serum Cystatin C Level Monitoring for Intervention Opportunity of CBP in Children with Severe Sepsis,2022,0,1,385,1,7,4115.0,414.0,0.0,0,10
Circ_001042 Inhibits TGF-Î²1/P38 MAPK Signaling Axis-Mediated Epithelial-Mesenchymal Transition and Metastasis in Lung Adenocarcinoma,2022,3,1,467,1,5,4115.0,414.0,0.0,0,12
Inhibition of miR-29b-1-5p Attenuates Inflammatory Response and Pulmonary Fibrosis in LPS-Induced Acute Lung Injury by Regulating RTN4 Expression,2022,0,1,313,1,7,4115.0,414.0,0.0,0,17
"Study on the Relationship between MMP-2, MMP-9 Gene Polymorphisms, and the Risk of Colorectal Cancer",2022,1,1,295,1,6,4115.0,414.0,0.0,0,6
LncRNA SNHG7 Functions as an Oncogene in Cervical Cancer by Sponging miR-485-5p to Modulate JUND Expression,2020,14,1,1333,1,4,487.0,192.0,0.81,0,40
Analysis of the B2M Expression in Colon Adenocarcinoma and Its Correlation with Patient Prognosis,2022,1,1,314,1,7,4115.0,414.0,0.0,0,21
LncRNA EWSAT1 Promotes Colorectal Cancer Progression Through Sponging miR-326 to Modulate FBXL20 Expression,2021,12,1,1010,1,8,487.0,192.0,0.81,0,84
Identification of Osteosarcoma Metastasis-Associated Gene Biomarkers and Potentially Targeted Drugs Based on Bioinformatic and Experimental Analysis,2020,6,1,1162,1,6,487.0,192.0,0.81,0,8
Predictive Value of Serum Markers SFRP1 and CC16 in Acute Exacerbation of Chronic Obstructive Pulmonary Disease,2022,2,1,526,1,4,4115.0,414.0,0.0,0,10
"Long Non-Coding RNA LEF1-AS1 Promotes Migration, Invasion and Metastasis of Colon Cancer Cells Through miR-30-5p/SOX9 Axis",2020,18,1,1203,1,9,487.0,192.0,0.81,0,53
The Low Endometrial Expression of Long Non-Coding RNA NORAD Is Associated with Recurrent Pregnancy Losses and Unexplained Infertility,2022,1,1,279,1,5,4115.0,414.0,0.0,0,13
TRIM44 Promotes Endometrial Carcinoma Progression by Activating the FRS2 Signalling Pathway,2022,1,1,373,1,8,4115.0,414.0,0.0,0,11
Identification of Atrial Fibrillation-Related lncRNA Based on Bioinformatic Analysis,2022,11,1,312,1,9,4115.0,99.0,0.0,1,13
Study on the Mechanism of MicroRNA551b-5p in Severe Acute Pancreatitis Capillary Leakage Syndrome,2022,2,1,347,1,5,4115.0,99.0,0.0,1,12
Study on the molecular mechanism of nightshade in the treatment of colon cancer,2022,8,1,351,1,10,1069.0,15.0,0.899,0,14
Methyl-CpG-binding protein 2 promotes osteogenic differentiation of bone marrow mesenchymal stem cells through regulating forkhead box F1/Wnt/Î²-Catenin axis,2021,6,1,657,1,2,1069.0,15.0,0.899,0,2
The long non-coding RNA ASMTL-AS1 promotes hepatocellular carcinoma progression by sponging miR-1343-3p that suppresses LAMC1 (laminin subunit gamma 1),2021,5,1,658,1,2,1069.0,15.0,0.899,0,2
N(6)-adenosine-methyltransferase-14 promotes glioma tumorigenesis by repressing argininosuccinate synthase 1 expression in an m6A-dependent manner,2022,12,1,351,1,7,1069.0,15.0,0.899,0,84
circCNN2 Accelerates Cell Proliferation and Invasion in Lung Squamous Cell Carcinoma via Regulating miR-184/E2F1 and Activating MAPK Signaling Pathway,2022,3,1,176,1,8,4115.0,99.0,0.0,1,35
"Circular RNA protein tyrosine kinase 2 (circPTK2) promotes colorectal cancer proliferation, migration, invasion and chemoresistance",2022,31,1,596,1,6,1069.0,15.0,0.899,0,72
Inhibition of miR-421 Preserves Mitochondrial Function and Protects against Parkinsonâs Disease Pathogenesis via Pink1/Parkin-Dependent Mitophagy,2022,6,1,126,1,5,4115.0,99.0,0.0,1,26
Apelin Alleviates Meniscus Endothelial Cell Apoptosis in Osteoarthritis,2022,3,1,391,1,21,4115.0,99.0,0.0,1,48
Long non-coding RNA PICSAR serves as a non-invasive biomarker for the diagnosis and prognosis of cutaneous squamous cell carcinoma,2021,2,1,880,1,3,3505.0,3.0,1.038,0,112
Study on Circulating lncRNA Expression Profile in Patients with Cerebral Infarction,2022,0,1,156,1,4,4115.0,99.0,0.0,1,4
E2F1 Affects the Therapeutic Response to Neoadjuvant Therapy in Breast Cancer,2022,1,1,312,1,7,4115.0,99.0,0.0,1,80
Activating Transcription Factor 3 Based Early Alarm Model of Acute Kidney Injury after Cardiopulmonary Bypass in Adults,2022,0,1,258,1,5,4115.0,99.0,0.0,1,24
PM2.5 Exposure Induces Lung Injury and Fibrosis by Regulating Ferroptosis via TGF-Î² Signaling,2022,11,1,302,1,6,4115.0,99.0,0.0,1,21
Long Noncoding RNA SBF2-AS1 Promotes Abdominal Aortic Aneurysm Formation through the miRNA-520f-3p/SMARCD1 Axis,2022,2,1,444,1,5,4115.0,99.0,0.0,1,41
"Effects of Minocycline on Cognitive Impairment, Hippocampal Inflammatory Response, and Hippocampal Alzheimerâs Related Proteins in Aged Rats after Propofol Anesthesia",2022,2,1,456,1,2,4115.0,99.0,0.0,1,10
Rosiglitazone Alleviates Contrast-Induced Acute Kidney Injury in Rats via the PPARÎ³/NLRP3 Signaling Pathway,2022,2,1,503,1,4,4115.0,99.0,0.0,1,4
Calycosin Inhibits the Malignant Behaviors of Lung Adenocarcinoma Cells by Regulating the circ_0001946/miR-21/GPD1L/HIF-1Î± Signaling Axis,2022,4,1,347,1,5,4115.0,99.0,0.0,1,12
Effects of Fluid Shear Stress on Human Intervertebral Disc Nucleus Pulposus Cells Based on Label-Free Quantitative Proteomics,2022,0,1,315,1,5,4115.0,99.0,0.0,1,8
Identification of Candidate Therapeutic Target Genes and Profiling of Tumor-Infiltrating Immune Cells in Pancreatic Cancer via Integrated Transcriptomic Analysis,2022,0,1,337,1,5,4115.0,99.0,0.0,1,11
Identification and Validation of an Inflammatory Response-Related Polygenic Risk Score as a Prognostic Marker in Hepatocellular Carcinoma,2022,0,1,301,1,6,4115.0,99.0,0.0,1,6
Overexpression of CAPG Is Associated with Poor Prognosis and Immunosuppressive Cell Infiltration in Ovarian Cancer,2022,8,1,320,1,7,4115.0,99.0,0.0,1,61
Mirt2 functions in synergy with miR-377 to participate in inflammatory pathophysiology of SjÃ¶gren's syndrome,2019,13,1,1592,1,8,1069.0,88.0,0.0,0,26
Anti-gastric cancer effect of Salidroside through elevating miR-99a expression,2019,17,1,1524,1,8,1069.0,88.0,0.0,0,48
Construction of a temperature-responsive terpolymer coating with recyclable bactericidal and self-cleaning antimicrobial properties,2016,58,1,2554,1,7,323.0,7.0,1.206,0,35
Identification of SMIM1 and SEZ6L2 as Potential Biomarkers for Genes Associated with Intervertebral Disc Degeneration in Pyroptosis,2022,3,1,379,1,9,4115.0,99.0,0.0,1,63
Identification and Verification of Key Tumor Genes Associated with Diagnosis and Prognosis of Breast Cancer Based on Bioinformatics Analysis,2022,0,1,414,1,3,4115.0,99.0,0.0,1,10
Expression and Clinical Significance of HER2 Gene and DNMT1 in Non-Small-Cell Lung Cancer,2022,1,1,340,1,6,4115.0,99.0,0.0,1,8
PTPN11 Gene Mutations and Its Association with the Risk of Congenital Heart Disease,2022,4,1,318,1,7,4115.0,99.0,0.0,1,7
Î±-Cyperone Protects Cardiomyocytes against Oxygen-Glucose Deprivation-Induced Inflammation and Oxidative Stress by Akt/FOXO3a/NF-ÎºB Pathway,2022,0,1,324,1,2,4115.0,99.0,0.0,1,2
MicroRNA-29a-3p Regulates SH-SY5Y Cell Proliferation and Neurite Growth through Interaction with PTEN-PI3K/AKT/mTOR Signaling Pathway,2022,2,1,557,1,6,4115.0,99.0,0.0,1,11
Effects of Atipamezole Preconditioning on Cognitive Function and Protein Expression in Related Brain Regions of Aged Rats after General Anesthesia,2022,0,1,448,1,2,4115.0,99.0,0.0,1,4
Clinical Characteristics of Diabetes Complicated by Bacterial Liver Abscess and Nondiabetes-Associated Liver Abscess,2022,3,1,449,1,5,4115.0,99.0,0.0,1,34
Influenza A Virus Production in Mouse Lung Is Inhibited by Inhalation of Aerosol Polyethylenimine/Short Hairpin RNA Plasmid Complexes,2022,0,1,453,1,7,4115.0,99.0,0.0,1,12
HSPA5 Inhibitor Meliorate DSS-Induced Colitis through HSPA1A/CHIP,2022,1,1,371,1,11,4115.0,99.0,0.0,1,43
Investigation of the Immunoprotective Effect of Zinc on Ovalbumin Induced BALB/C Male Mice Based on NF-KB Signaling Pathway,2022,1,1,352,1,7,4115.0,78.0,0.0,0,7
Effect of Ruanjian Xiaoying Granules on Hashimoto Rats with Depression of Liver and Deficiency of Spleen and Effect on Intestinal Microflora,2022,0,1,393,1,2,4115.0,78.0,0.0,0,9
"Expression and Relationship of Netrin-1, DCC, UNC5B, and VEGF in Villous Tissues of Patients with Delayed Abortion",2022,0,1,330,1,4,4115.0,78.0,0.0,0,16
Analysis of the Predictive Effect of Lactic Acid Combined with Cardiac Troponin T and 5-Hydroxytryptophan on the Severity of Sepsis in ICU Patients and Its Correlation with Prognosis,2022,0,1,313,1,4,4115.0,78.0,0.0,0,5
Study on the Effects of Different Doses of Dahuang Zhechong Pills on the Ubiquitin Proteasome Pathway/Nuclear Factor-ÎºB in Rats with Atherosclerosis and Its Mechanism,2022,0,1,290,1,7,4115.0,78.0,0.0,0,64
Mate Analysis of Hepatocellular Carcinoma Immune Subtypes and Their Functional Effects Based on Fuzzy Logic and Evolutionary Algorithms,2022,0,1,447,1,3,4115.0,78.0,0.0,0,3
TNFAIP6 Promotes Gastric Carcinoma Cell Invasion via Upregulating PTX3 and Activating the Wnt/Î²-Catenin Signaling Pathway,2022,4,1,414,1,8,4115.0,78.0,0.0,0,39
Study on the Predictive Value of P53 Protein Expression in Brain Metastasis in NSCLC and the Mechanism of miR-424 Reversing Platinum Resistance in NSCLC,2022,0,1,352,1,5,4115.0,78.0,0.0,0,13
